org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RN7,DARTFORD AND GRAVESHAM NHS TRUST,NHS Trust,DA2 8DA,South East,true,202104,202606,63,true,QKS,NHS Kent And Medway Integrated Care Board,QKS,NHS Kent And Medway Integrated Care Board
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NHS Trust,LN2 5QY,Midlands,true,202104,202606,63,true,QJM,NHS Lincolnshire Integrated Care Board,QJM,NHS Lincolnshire Integrated Care Board
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS Trust,SE1 7EH,London,true,202104,202606,63,true,QKK,NHS South East London Integrated Care Board,QKK,NHS South East London Integrated Care Board
RKE,WHITTINGTON HEALTH NHS TRUST,NHS Trust,N19 5NF,London,true,202104,202606,63,true,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RWJ,STOCKPORT NHS FOUNDATION TRUST,NHS Trust,SK2 7JE,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
Y03571,CORBY URGENT CARE CENTRE,Other provider,,Midlands Commissioning Region,,202104,202402,0,false,QPM,NHS Northamptonshire Integrated Care Board,QPM,NHS Northamptonshire Integrated Care Board
Y04538,BRACKNELL URGENT CARE CENTRE WIC,Other provider,,South East Commissioning Region,,202104,202401,0,false,QNQ,NHS Frimley Integrated Care Board,QNQ,NHS Frimley Integrated Care Board
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NHS Trust,RH1 5RH,South East,true,202104,202606,63,true,QXU,NHS Surrey Heartlands Integrated Care Board,QXU,NHS Surrey Heartlands Integrated Care Board
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NHS Trust,PE30 4ET,East of England,true,202104,202606,63,true,QMM,NHS Norfolk And Waveney Integrated Care Board,QMM,NHS Norfolk And Waveney Integrated Care Board
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NHS Trust,CH2 1UL,North West,true,202104,202606,63,true,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,NHS Trust,OX4 4XN,South East,true,202104,202606,0,false,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board"
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",NHS Trust,WN1 2NN,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NHS Trust,NN16 8UZ,Midlands,true,202104,202606,63,true,QPM,NHS Northamptonshire Integrated Care Board,QPM,NHS Northamptonshire Integrated Care Board
RBV,THE CHRISTIE NHS FOUNDATION TRUST,NHS Trust,M20 4BX,North West,true,202104,202606,0,false,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,YO31 8HE,North East and Yorkshire,true,202104,202606,63,true,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
R1H,BARTS HEALTH NHS TRUST,NHS Trust,E1 2ES,London,true,202104,202606,63,true,QMF,NHS North East London Integrated Care Board,QMF,NHS North East London Integrated Care Board
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NHS Trust,OL6 9RW,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,M13 9WL,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Trust,L7 8XP,North West,true,202104,202606,63,true,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
NR3,NOTTINGHAM CITYCARE PARTNERSHIP,Other provider,,Midlands Commissioning Region,,202104,202509,0,false,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board
Y02532,MIRIAM MINOR EMERGENCY,Other provider,,North West Commissioning Region,,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
G0Q0L,BARKING HOSPITAL UTC,Other provider,,London Commissioning Region,,202304,202606,0,false,QMF,NHS North East London Integrated Care Board,,
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NHS Trust,L35 5DR,North West,true,202104,202606,63,true,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS Trust,SW10 9NH,London,true,202104,202606,63,true,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,BD9 6RJ,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RA2,ROYAL SURREY NHS FOUNDATION TRUST,NHS Trust,GU2 7XX,South East,true,202104,202606,63,true,QXU,NHS Surrey Heartlands Integrated Care Board,QXU,NHS Surrey Heartlands Integrated Care Board
RJ2,LEWISHAM AND GREENWICH NHS TRUST,NHS Trust,SE13 6LH,London,true,202104,202606,63,true,QKK,NHS South East London Integrated Care Board,QKK,NHS South East London Integrated Care Board
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NHS Trust,WF1 3SP,North East and Yorkshire,true,202104,202606,0,false,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NHS Trust,CV10 7DJ,Midlands,true,202104,202606,63,true,QWU,NHS Coventry And Warwickshire Integrated Care Board,QWU,NHS Coventry And Warwickshire Integrated Care Board
