region_code,region_name,month_key,vacancy_wte_total,vacancy_wte_nursing,vacancy_pressure_index,nursing_pressure_index
Y63,North East and Yorkshire,201908,2579.3399999999997,853.58,0.9104522305021886,1.0423145966639902
Y59,South East,201909,2581.4300000000003,778.02,0.9513372781108703,0.9148680163366767
Y59,South East,202003,2077.8100000000004,698.35,0.7657376376006894,0.821184647192512
Y59,South East,202004,1253.29,403.38,0.46187636204877625,0.4743315858588322
Y58,South West,202006,1340.1,471.46,0.8207933079712835,0.9336289910951169
Y59,South East,202008,2263.01,739.26,0.8339896002361794,0.8692904163865346
Y61,East of England,202012,1006.23,245.03,0.7325577712911,0.6397062758815444
Y56,London,202012,2447.3100000000004,770.69,0.9382181843867415,0.9830636066903703
Y62,North West,202102,2158.1100000000006,740.19,0.8978857802299418,1.0249543475815037
Y63,North East and Yorkshire,202103,3147.4799999999996,966.87,1.1109935822578756,1.1806540852368987
Y62,North West,202104,2474.51,779.97,1.0295246034895316,1.0800384259219191
Y62,North West,202110,3310.04,1030.8,1.3771484530410014,1.427367218534449
Y61,East of England,202206,1924.0900000000001,515.9,1.4007802213842686,1.346873720472141
Y56,London,202206,3234.5,957.8,1.240000946916784,1.2217341894770095
Y59,South East,202209,4133.77,1221.86,1.5234228703224075,1.436776219687324
Y58,South West,202212,1911.61,554.69,1.1708355312670586,1.0984487868971926
Y58,South West,202301,2179.21,645.6,1.3347369484845166,1.2784772338077621
Y62,North West,202305,2778.03,735.2,1.1558046781916513,1.0180446052255792
Y62,North West,202306,2582.87,658.2,1.0746079880925945,0.9114213263866652
Y63,North East and Yorkshire,202309,3528.84,865.62,1.2456055615333161,1.0570167543338447
Y58,South West,202312,1566.67,403.16,0.9595643995219543,0.7983749714714024
Y62,North West,202404,2759.0600000000004,714.84,1.1479121735227689,0.9898517486390819
Y61,East of England,202406,1512.2800000000002,381.18,1.1009734020731887,0.995156667512252
Y56,London,202406,2920.58,822.74,1.119654340870682,1.0494566580187041
Y61,East of England,202410,1482.1899999999998,393.05,1.07906721428496,1.026145989206387
Y56,London,202410,2622.4300000000003,732.03,1.0053534342937032,0.9337503432061551
Y63,North East and Yorkshire,202411,2904.7,702.91,1.0252973993113383,0.8583300371858352
Y62,North West,202501,2309.2400000000002,646.08,0.960763704879821,0.8946385453538387
Y58,South West,202503,1559.24,445.31,0.9550136239990629,0.8818443261879407
Y59,South East,202505,1823.6299999999997,608.39,0.6720643986012892,0.7154013424578683
Y58,South West,202506,1318.9499999999998,350.77,0.8078392161396346,0.6946274152768722
Y58,South West,202510,1360.4,356.08,0.8332267861832208,0.7051427717073542
Y61,East of England,202511,1131.19,266.18,0.8235314245319454,0.69492313804085
Y56,London,202511,1896.52,519.92,0.7270634088256669,0.6631906867747827
Y58,South West,202602,1447.1499999999999,391.25,0.886359999724381,0.7747896804945584
Y63,North East and Yorkshire,201604,1662.1499999999999,489.78,0.5867036431525944,0.5980749820217074
Y62,North West,201608,2019.44,638.79,0.8401918623367453,0.8845439518118168
Y58,South West,201701,1363.19,523.57,0.8349356238290979,1.0368220652179834
Y59,South East,201711,2216.66,757.69,0.8169081830215197,0.890962118323612
Y61,East of England,201801,1323.0099999999998,396.53,0.9631806415986782,1.0352313168808258
Y56,London,201801,2612.9799999999996,871.14,1.001730615017659,1.1111939045949073
Y59,South East,201804,2511.4,824.87,0.9255290440754309,0.9699585879998387
Y61,East of England,201806,1153.31,353.32,0.8396352754417364,0.9224218315898758
Y56,London,201806,2546.67,710.32,0.9763095413462874,0.9060578716530691
Y62,North West,201807,2097.72,635.18,0.8727604055882011,0.8795451201675507
Y58,South West,201808,1668.76,520.96,1.0220931576823813,1.031653500192831
Y62,North West,201810,2664.65,887.34,1.1086327130172762,1.2287155875963893
Y59,South East,201811,2449.33,869.79,0.9026543177213009,1.0227796868068662
Y60,Midlands,201812,1609.5,542.57,0.5818844669204375,0.6447668324820738
Y63,North East and Yorkshire,201902,2156.42,693.98,0.7611704540306938,0.8474255298775462
Y63,North East and Yorkshire,201905,2475.08,761.45,0.8736506651590551,0.9298137838630185
Y58,South West,201910,1646.1899999999998,531.31,1.008269334862508,1.052149533913262
Y63,North East and Yorkshire,201911,2885.5699999999997,945.2,1.01854491566455,1.1541926436500427
Y62,North West,202002,2249.37,766.55,0.9358546772295312,1.061455511609994
Y63,North East and Yorkshire,202005,1613.4,537.07,0.5694959286841716,0.6558212474874402
Y58,South West,202007,1617.5800000000002,578.19,0.9907460929096253,1.1449856750546934
Y60,Midlands,202009,2626.92,918.09,0.9497135407534238,1.0910186358137512
Y60,Midlands,202101,2434.2699999999995,804.77,0.8800645550111296,0.9563540257968528
Y61,East of England,202105,1434.1100000000001,441.9,1.0440639072441484,1.153679971073152
Y56,London,202105,2541.1400000000003,823.64,0.9741895211773435,1.0506046646699145
Y62,North West,202107,2735.8900000000003,838.3,1.1382722508460157,1.160809021437164
Y62,North West,202109,2742.21,905.07,1.1409016988959544,1.2532666360874796
Y62,North West,202111,2961.38,941.2,1.2320877952733384,1.3032964940673493
Y63,North East and Yorkshire,202112,3841.26,1124.61,1.3558831852097195,1.3732718884630495
Y63,North East and Yorkshire,202202,4113.630000000001,1041.16,1.4520240096151418,1.2713703056101127
Y60,Midlands,202203,4470.6900000000005,1306.27,1.6162939219736134,1.552315038181909
Y63,North East and Yorkshire,202205,4956.84,1385.27,1.7496592284237322,1.6915662753587544
Y61,East of England,202210,1982.04,545.72,1.442969107470272,1.4247255800272474
Y56,London,202210,3401.5899999999997,986.42,1.3040577588569062,1.2582408009855
Y60,Midlands,202211,4678.369999999999,1435.4,1.691376721656767,1.7057675716400993
Y63,North East and Yorkshire,202304,3383.9599999999996,958.14,1.194465999026955,1.1699937998168133
Y62,North West,202307,2976.4700000000003,836.03,1.2383660185444738,1.1576657117882765
Y60,Midlands,202310,4074.1099999999997,1163.07,1.4729178785493777,1.382142322382228
Y62,North West,202401,3258.53,984.67,1.3557176193301879,1.3634901814845906
Y61,East of England,202407,1753.9800000000002,465.44,1.2769363661281852,1.2151364691927764
Y56,London,202407,3464.14,952.88,1.3280373721602439,1.2154584197837262
Y62,North West,202408,2384.5799999999995,707.28,0.9921090555257672,0.9793832812621702
Y60,Midlands,202409,3018.6299999999997,834.49,1.0913289272320845,0.9916719944670102
Y59,South East,202502,2092.81,659.12,0.771265604336825,0.7750543776867309
Y62,North West,202504,2025.55,538.66,0.8427339394862904,0.7458921477840186
Y61,East of England,202508,1014.8999999999999,264.14,0.7388697237046572,0.6895972563006616
Y56,London,202508,2202.5899999999997,577.5,0.8444005829863779,0.7366376011933317
Y61,East of England,202512,1212.9499999999998,301.43,0.883054519033958,0.7869512416396928
Y56,London,202512,1979.17,586.66,0.7587487012240816,0.7483217577767618
Y58,South West,202601,1453.6599999999999,430.82,0.8903472875647608,0.8531498789793371
Y62,North West,202603,2150.52,562.15,0.8947279462585752,0.7784191714194223
Y63,North East and Yorkshire,201605,1804.7500000000002,557.49,0.6370384140899709,0.680756302273024
Y61,East of England,201606,1225.9199999999998,378.05,0.8924969668775381,0.9869850940579433
Y56,London,201606,2885.01,827.36,1.1060179724422297,1.055349758828251
Y60,Midlands,201608,1985.9699999999998,562.77,0.7179901179061703,0.6687716429510231
Y59,South East,201702,2252.1400000000003,811.72,0.8299836670080597,0.954495599368663
Y58,South West,201703,1347.95,454.06,0.8256013278709736,0.8991718909274357
Y58,South West,201704,1092.59,349.84,0.6691967467773634,0.692785742681703
Y61,East of England,201705,1255.37,380.42,0.9139372204622284,0.9931725154913975
Y56,London,201705,2486.5099999999998,761.88,0.9532461754577377,0.9718258971379663
Y61,East of England,201707,1203.02,355.76,0.8758252586571847,0.9287920038673559
Y56,London,201707,2525.71,784.87,0.9682741665287343,1.0011510892616626
Y63,North East and Yorkshire,201710,2076.1000000000004,662.84,0.7328192001618997,0.8094001818842513
Y61,East of England,201803,1219.3,427.77,0.8876774599596893,1.1167904078433182
Y56,London,201803,2388.36,640.28,0.9156186927123731,0.816717442929985
Y60,Midlands,201807,2145.1400000000003,701.05,0.7755350390616387,0.8330976425374749
Y60,Midlands,201810,2123.64,704.83,0.7677621182546864,0.8375896318232486
Y62,North West,201812,1865.64,648.28,0.7762030790961482,0.8976849247492361
Y63,North East and Yorkshire,201904,2324.56,717.78,0.820520302455732,0.8764879345737702
Y63,North East and Yorkshire,201906,2477.0899999999997,791.14,0.8743601524632916,0.9660685231668374
Y61,East of England,201907,1262.43,348.72,0.91907705714501,0.9104124904110198
Y56,London,201907,3132.9100000000003,882.85,1.2010546812815157,1.1261307466901003
Y58,South West,201909,1255.13,390.41,0.7687503205984607,0.773126234279567
Y61,East of England,201912,930.21,248.85,0.6772135241770709,0.6496792505126814
Y56,London,201912,2148.66,681.0,0.8237255942501831,0.8686583660825262
Y61,East of England,202001,1182.6200000000001,272.41,0.8609736059194029,0.7111879631591704
Y56,London,202001,2758.2200000000003,901.96,1.0574108554041777,1.150506754584134
Y60,Midlands,202002,2387.5699999999997,751.03,0.863181047956029,0.8924917230938161
Y58,South West,202003,1262.34,411.3,0.7731663490668383,0.8144945574119153
Y58,South West,202004,566.56,184.0,0.347010414569219,0.3643739328076645
Y59,South East,202006,2422.1200000000003,821.89,0.8926265860619507,0.9664544278385533
Y58,South West,202008,1392.76,453.87,0.8530468529289492,0.8987956352359494
Y62,North West,202009,2356.73,723.64,0.9805220099259584,1.002037266220672
Y61,East of England,202011,1256.6599999999999,392.63,0.9148763690912352,1.0250494841422306
Y56,London,202011,2347.12,788.41,0.8998086327182941,1.0056665820897568
Y62,North West,202101,1915.9299999999996,637.3,0.7971263294808659,0.8824807221303884
Y60,Midlands,202107,3822.4400000000005,1201.2,1.3819313213639997,1.4274543730347549
Y60,Midlands,202109,3491.4300000000003,1099.98,1.2622608787449663,1.307168882160148
Y60,Midlands,202111,3870.2900000000004,1185.44,1.399230589299472,1.4087258674411587
Y62,North West,202203,3353.2999999999997,936.27,1.3951468585220692,1.2964698347858445
Y61,East of England,202204,2041.23,611.9,1.4860607410756308,1.597503449422181
Y56,London,202204,2580.3599999999997,745.25,0.9892251795907228,0.9506132853494899
