org_code,org_name,icb_code,icb_name,region_name,imd_score,deprivation_quintile,core20_proxy,catchment_population,type1_performance_12m,att_type1_12m,dta_12hr_12m
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,25.199999999999996,2,false,883613,0.6332388748950462,19056.0,452.0
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,QJG,NHS Suffolk And North East Essex Integrated Care Board,East of England,20.7,3,false,685017,0.5826851538721678,11828.0,615.0
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,33.2,1,true,456457,0.663622420524261,14344.0,755.0
RBK,WALSALL HEALTHCARE NHS TRUST,QUA,NHS Black Country Integrated Care Board,Midlands,31.5,1,true,267472,0.7709961916215675,9978.0,94.0
RH5,SOMERSET NHS FOUNDATION TRUST,QSL,NHS Somerset Integrated Care Board,South West,19.4,4,false,467693,0.49503968253968256,12096.0,109.0
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,QUA,NHS Black Country Integrated Care Board,Midlands,37.1,1,true,412728,0.5602524204702628,11568.0,231.0
RLQ,WYE VALLEY NHS TRUST,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,Midlands,18.8,4,false,174508,0.5592958616429895,6476.0,178.0
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QMM,NHS Norfolk And Waveney Integrated Care Board,East of England,18.9,4,false,605284,0.6671984915512366,13789.0,319.0
RN7,DARTFORD AND GRAVESHAM NHS TRUST,QKS,NHS Kent And Medway Integrated Care Board,South East,19.5,4,false,307741,0.7721931555021871,11659.0,323.0
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,QJM,NHS Lincolnshire Integrated Care Board,Midlands,23.3,2,false,506612,0.6942124627693745,17123.0,1034.0
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,QKK,NHS South East London Integrated Care Board,London,20.7,3,false,814692,0.5932074755715777,10541.0,80.0
RKE,WHITTINGTON HEALTH NHS TRUST,QMJ,NHS North Central London Integrated Care Board,London,25.300000000000004,2,false,196777,0.6993325564148745,9439.0,276.0
RWJ,STOCKPORT NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,19.2,4,false,293287,0.5987841945288754,8554.0,210.0
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,QXU,NHS Surrey Heartlands Integrated Care Board,South East,13.4,5,false,372556,0.5713728168601815,10249.0,606.0
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",QMM,NHS Norfolk And Waveney Integrated Care Board,East of England,25.1,2,false,205970,0.5434847579199044,6692.0,149.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,18.0,4,false,196560,0.5373212417160795,5734.0,671.0
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",QOP,NHS Greater Manchester Integrated Care Board,North West,24.8,2,false,287564,0.5144045144045144,6734.0,139.0
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,QPM,NHS Northamptonshire Integrated Care Board,Midlands,18.2,4,false,300830,0.6254565376186998,10952.0,644.0
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,QOQ,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,17.0,4,false,488674,0.5280759060507078,12858.0,288.0
R1H,BARTS HEALTH NHS TRUST,QMF,NHS North East London Integrated Care Board,London,26.8,2,false,1051489,0.6074794204194137,26847.0,1112.0
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,29.599999999999998,1,true,187778,0.5211345326122945,9061.0,447.0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,29.2,1,true,1172065,0.5954244431065623,28237.0,103.0
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,32.8,1,true,498761,0.5003349777696571,16419.0,1229.0
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,26.7,2,false,580290,0.6186848885403831,17854.0,403.0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,QRV,NHS North West London Integrated Care Board,London,20.5,3,false,561690,0.6954376118825294,20669.0,50.0
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,39.0,1,true,404197,0.7173913043478262,9476.0,195.0
RA2,ROYAL SURREY NHS FOUNDATION TRUST,QXU,NHS Surrey Heartlands Integrated Care Board,South East,10.0,5,false,327670,0.658864325964456,6921.0,13.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,QKK,NHS South East London Integrated Care Board,London,22.3,3,false,511314,0.5035245503159942,16456.0,582.0
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands,21.6,3,false,181815,0.8653483992467044,7434.0,259.0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands,32.7,1,true,241492,0.8056501703065517,4991.0,0.0
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,26.300000000000004,2,false,666883,0.5662750289591263,12086.0,20.0
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,QRV,NHS North West London Integrated Care Board,London,23.2,2,false,703259,0.5850296521878506,12478.0,0.0
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,QNX,NHS Sussex Integrated Care Board,South East,23.9,2,false,344214,0.6141460041489677,10123.0,231.0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,QJK,NHS Devon Integrated Care Board,South West,22.1,3,false,242471,0.48357588357588355,7215.0,140.0
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,South West,22.2,3,false,422736,0.4127630685675492,7365.0,620.0
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,QOQ,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,25.7,2,false,550669,0.4685186965298471,10403.0,476.0
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,QNX,NHS Sussex Integrated Care Board,South East,16.7,4,false,955999,0.6056407544509078,28365.0,922.0
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England,13.0,5,false,384571,0.7514443761524278,8135.0,24.0
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,32.1,1,true,429727,0.6084773172184867,11749.0,1.0
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",QMF,NHS North East London Integrated Care Board,London,22.0,3,false,604047,0.5754120978868638,13771.0,659.0
