org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
R1K,202305,0.5272078501338091,0.5019088826673455,0.02529896746646365,-0.033549603532588956,0.5167867788202122,96
RJZ,202305,0.5271842034081688,0.5207511325442058,0.006433070863963053,0.01829604335569268,0.5057616304679807,97
RAL,202305,0.5244559792373727,0.5411536805854498,-0.01669770134807702,-0.06001004018010303,0.5234401314144485,98
RWG,202305,0.5238947099412216,0.46900378992961556,0.054890920011606004,0.20859908012117012,0.47568754453647966,99
RJE,202305,0.5182391761549061,0.5203113597664801,-0.002072183611574019,0.07785164090799701,0.5052997580465632,100
RXP,202305,0.51291627762216,0.507396449704142,0.005519827918017972,-0.04396761048535691,0.4979021664993861,101
RWE,202305,0.5119268675903442,0.5524626422830016,-0.040535774692657345,-0.015396188773899477,0.5291703463956084,102
RFS,202305,0.5077926785067053,0.5563461538461538,-0.04855347533944854,-0.13954886550050416,0.4991614026918008,103
RBL,202305,0.504930966469428,0.5016885046602728,0.003242461809155217,0.0006511914633140492,0.5124756573621517,104
RAX,202305,0.4956485120718698,0.5312981806968856,-0.03564966862501584,-0.13086384984291188,0.5094083736583063,105
RWA,202305,0.4927164452588182,0.5449214867819518,-0.052205041523133655,0.003430082447850369,0.49557436448489955,106
RWP,202305,0.4904329495702935,0.5191443465755887,-0.028711397005295236,-0.024647125220373933,0.4948767466046065,107
RRF,202305,0.4901191120736329,0.466301600673968,0.023817511399664926,-0.10446009302829173,0.4807128044125404,108
RJ2,202305,0.47736873868436935,0.5029124620559521,-0.025543723371582727,-0.1194279649774902,0.4817017737811122,109
RXW,202305,0.47586960480786744,0.4598028254903954,0.016066779317472024,-0.037852066580234545,0.4668647710242227,110
RCB,202305,0.46947068983033624,0.4678439066928276,0.0016267831375086361,-0.021304600385252503,0.46242602450455594,111
RTG,202305,0.46933887943530594,0.45080712496521014,0.018531754470095807,0.020356769626545868,0.43496600079027736,112
RQW,202305,0.4660578721531522,0.4853235883531769,-0.019265716200024707,-0.09771586281056188,0.4708278847309308,113
REF,202305,0.46144220240888467,0.39870506048730614,0.06273714192157853,-0.0014398936609842927,0.42451079815063447,114
RVV,202305,0.44963144963144963,0.4396670021041076,0.009964447527342046,-0.15718036325925955,0.42637178287319727,115
RWD,202305,0.4437879401052206,0.46894705018571303,-0.02515911008049243,-0.05554383403443863,0.4494582118786963,116
