region,month_key,month_start,is_winter,winter_label,cat1_mean_sec,cat2_mean_sec,cat1_incidents,cat2_incidents
Y62,202110,2021-10-01,false,,554.0,4062.0,14487.0,51131.0
Y56,202112,2021-12-01,true,2021-22,429.0,3150.0,10968.0,61934.0
Y63,202112,2021-12-01,true,2021-22,552.1656084656084,2835.312017053024,11340.0,60048.0
Y56,202202,2022-02-01,true,2021-22,404.0,2251.0,8982.0,51014.0
Y60,202202,2022-02-01,true,2021-22,511.94490232980723,2399.82019812736,15409.0,77324.0
Y59,202205,2022-05-01,false,,512.4658512957133,1658.9835270507567,8258.0,59795.0
Y60,202207,2022-07-01,false,,543.9592242424243,4124.93986740116,20625.0,82052.0
Y61,202210,2022-10-01,false,,672.0,5214.0,9640.0,35769.0
Y58,202210,2022-10-01,false,,671.0,4356.0,10663.0,36445.0
Y60,202306,2023-06-01,false,,512.2307821510553,2286.676106474706,17861.0,75849.0
Y59,202308,2023-08-01,false,,514.4925373134329,1620.3995267503524,8040.0,59588.0
Y56,202309,2023-09-01,false,,459.0,2383.0,12208.0,53324.0
Y62,202401,2024-01-01,true,2023-24,493.0,2166.0,9858.0,52756.0
Y60,202403,2024-03-01,false,,517.6757355447006,2266.6476625129926,17606.0,83701.0
Y59,202404,2024-04-01,false,,492.8193217100549,1529.5908450345519,8374.0,58897.0
Y63,202405,2024-05-01,false,,459.9371179652919,1809.692072028029,14233.0,61365.0
Y59,202407,2024-07-01,false,,541.8659223817118,2179.6659322365845,9405.0,61272.0
Y63,202407,2024-07-01,false,,454.82846447445684,1657.5669684462787,13624.0,60088.0
Y59,202409,2024-09-01,false,,523.7661609498681,2025.1895227047291,9096.0,59481.0
Y60,202410,2024-10-01,false,,535.9283689489752,2754.334606415832,18344.0,79335.0
Y58,202505,2025-05-01,false,,554.0,2176.0,8685.0,41156.0
Y59,202603,2026-03-01,false,,496.7126989212859,1610.0444967104218,9363.0,62926.0
Y61,202605,2026-05-01,false,,497.0,1787.0,8593.0,45414.0
Y56,201810,2018-10-01,false,,367.0,1049.0,10379.0,56699.0
