region_name,month_key,breach_rate,vacancy_pressure_index,nursing_pressure_index,breach_dm,nurse_dm
Midlands,202505,0.4087986941762193,0.911275543535045,0.8474411109711492,-0.014117832224015747,0.007864085875454174
North East and Yorkshire,202602,0.3929317851238849,0.8830328405553766,0.6567370795682035,-0.0028892070350110544,-0.05610703851040255
South East,202603,0.3418549703384149,0.7235113423589266,0.6402735596711145,0.017265589902864364,-0.1364784575372764
North East and Yorkshire,202109,0.300200731235214,1.394026069834494,1.4377098336655598,-0.0002563784176335404,0.060955705370594915
London,202112,0.3237427420422522,0.8811041509745718,0.838580591820814,0.0019605813752390233,-0.31892035659531426
North West,202206,0.44900395584828157,1.3193089169804826,1.195648523977256,0.0336026068438286,-0.055382313291767016
East of England,202509,0.36534900308203716,0.9337321438906744,0.9752890400402748,-0.013517708566050723,0.0856519579045345
East of England,202601,0.41498629665426523,0.7946143830248522,0.6942182419281782,-0.002144399458598123,-0.0649623763612428
South West,202312,0.45240817181404847,0.959564399521954,0.7983749714714024,-0.010082318862678241,-0.03767101397700667
East of England,202312,0.4630664434178586,0.973372952301078,0.9070185461648212,0.021217201754142823,-0.017732892746629814
South East,202107,0.2219756793735876,1.4638240182845483,1.4354004252615846,-0.02199776576899226,0.09160352015881457
South West,202509,0.427189088854814,0.7394367113756372,0.6835377738435955,0.027681128193715154,-0.11739385482910292
South West,202601,0.4710001940868215,0.8903472875647607,0.8531498789793371,0.03322824896094717,0.18267471415295822
South East,202106,0.17663723643526957,1.3828208790443717,1.3710673371998643,-0.019648985475234415,0.10507262640574644
London,202201,0.3081360305889887,1.0458753387887112,1.1935825152634394,-0.004010280114544573,-0.1488583068086784
North East and Yorkshire,202203,0.3253313568189745,1.665572628615164,1.668120974091212,-0.023500849834077187,0.13252006375443304
North East and Yorkshire,202204,0.3421530752753978,1.2883230508660037,1.308956054204641,-0.005580722327678422,0.03200520097370263
South East,202205,0.3051976435759629,1.6686978361480564,1.523545339922644,-0.007045426390413612,0.049336228430752804
South East,202207,0.34383607590433696,1.5857193701275003,1.4621872603200015,0.0053800866204907205,0.1679492305947239
South East,202303,0.3272167837848816,1.4399432019844418,1.3650702845748457,-0.009379650607851509,-0.04145493196246419
London,202308,0.3942429177415558,1.2381991214567414,1.2210326298568255,-0.0001871780157796099,0.0603805795016823
North West,202308,0.4180223793906452,1.100386564227753,1.0098470752161457,-0.04700827011588682,-0.14711803272311297
Midlands,202401,0.4806100235174474,1.2249508588715965,1.2266576985328546,0.000576484366165031,-0.022766010352544885
London,202410,0.4042043708383131,1.0053534342937032,0.9337503432061551,-0.0001998115987274507,0.01819119093817556
South East,202501,0.38212318927331496,0.9338173088684771,0.8919851449478798,-0.005793631201153171,0.01216594562696871
North East and Yorkshire,202503,0.37264990207458465,0.9752061837172074,0.8859759549304785,-0.0075617468805940224,0.02628941851821165
North East and Yorkshire,202504,0.38985644335633207,1.0016195842027886,0.915062781815523,0.002636738009581252,0.1059585192520921
East of England,202506,0.3657672354726092,0.9102243072777831,0.8795275977706137,-0.0068623998404033215,0.05046670299465683
North West,202507,0.4223303344416194,1.0758270201790376,0.7824348533497191,-0.0021037183799516024,0.02846412254791364
London,202507,0.3574640307006473,0.9423048778769666,0.8104926957545332,0.003630531628272926,0.052835022536843246
North East and Yorkshire,202508,0.36306780156283874,0.7967260043569343,0.6885591916011278,-0.004572232106962337,-0.00861670746139076
Midlands,202510,0.42321476389434026,0.876087711807573,0.7479994010680954,-0.00926032012774236,-0.0854986939179283
South East,202511,0.3698262689741391,0.6186568693079025,0.47764760319266614,0.011154060189728754,-0.15850502218431095
Midlands,202111,0.37827058753273785,1.3992305892994723,1.4087258674411587,0.013024120860208266,-0.1080519899268737
North West,202201,0.43237317862924984,1.1772438329405976,1.214356062900811,0.04962631417651997,-0.12439781675542227
East of England,202202,0.3264574889426559,1.4232761071488502,1.4238118258071168,-0.0035404647743020323,0.017131662479223486
North East and Yorkshire,202409,0.40251560350204,1.0110900042886917,0.9360048087289786,0.012716445996476311,0.011369479550783712
North West,202410,0.4485941359788859,1.0496032685037788,0.9367062753684647,-0.026410600207351254,0.024834065516369686
South East,202412,0.4162740311837723,0.7464266071357882,0.7669642361063136,0.004897488621580459,0.05352070405783049
South West,202506,0.4083197546247484,0.8078392161396345,0.6946274152768722,0.015048870298724926,-0.045728026036042646
South West,202202,0.3323529411764706,1.5052287216409128,1.6552676044344703,-0.01828626155349833,0.337292894569619
South East,202407,0.34415965844782875,1.0610305647115916,1.0053882341943121,-0.004096974730046443,-0.04145877023388023
North East and Yorkshire,202201,0.3164583092081745,1.324492784231733,1.290810367911116,0.0011867642962587466,-0.12908621645199436
North West,202203,0.46376212296788527,1.3951468585220692,1.2964698347858445,0.047454596774019475,-0.15798837084405726
North West,202204,0.45158640463782673,1.1965278388131704,1.0402000917375613,0.03637728749393643,-0.15560805678649992
London,202204,0.32866066797465215,0.9892251795907228,0.9506132853494899,-0.015947895420041547,-0.24888180559045603
South West,202211,0.3791521627674789,1.456003172680647,1.3660457952683867,-0.026531398318317523,-0.09670346184976863
South East,202301,0.31947968488582096,1.465419758015713,1.3545578040909894,-0.009211684789945829,-0.06464687137572844
South West,202304,0.31622224503700663,1.2001368907576535,1.206434170353725,-0.032288107765803986,0.042254940620065407
North East and Yorkshire,202308,0.38938951166571134,1.2096687941480826,1.1233962635475732,-0.008165818300006566,-0.11471154909856263
Midlands,202309,0.4628590713278939,1.2517945504956054,1.2825817767837833,0.005375140046835314,0.14458919597083897
East of England,202311,0.4531951920352908,1.3222630278661414,1.320113775454038,0.018462254389465582,0.10734736984994808
South West,202311,0.449389409411517,1.0821780942632206,0.9863641966965739,-0.005984777247319162,-0.1376967554444739
London,202409,0.39032033426183843,1.1065163496971353,1.0149909472234768,0.003646410964657232,0.16781138033627463
North East and Yorkshire,202410,0.4249412202282116,0.9780617818720696,0.8845594679788978,0.017411803582788543,-0.10845544658007444
North West,202503,0.4206175003641514,0.9255490715021608,0.8169143292339913,-0.027069468131841357,0.038370497528601444
North West,202504,0.43166117991325703,0.8427339394862904,0.7458921477840186,-0.023033844974307882,0.01793058992746488
London,202508,0.36991063923102224,0.8444005829863779,0.7366376011933317,0.005395839769603672,0.11691746442180584
North West,202409,0.43760067622525955,1.025576270895557,0.8949293361143084,-0.019673800821118248,0.051436711642990574
London,202503,0.3700426047830059,1.0079718317175528,0.9051139550731849,-0.007043809963790282,0.12288318095191064
